service,file,line,method,path,handler,classification
raster-service,services/raster-service/routers/timeseries_routes.py,77,POST,/imagery/timeseries/analyze,imagery_timeseries_analyze,legacy_unversioned_business
raster-service,services/raster-service/routers/timeseries_routes.py,92,POST,/imagery/timeseries/parallel,imagery_timeseries_parallel,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/chat_proxy_reference.py,110,POST,/api/chat,chat,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,147,POST,/feature-schema,feature_schema,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,152,POST,/dataset,dataset,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,162,POST,/models/promote,model_promotion,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,172,POST,/online-update,online_update,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,182,POST,/experiments/evaluate,experiment_evaluation,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,192,POST,/scenario,scenario,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,197,POST,/cycle,learning_cycle,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,209,POST,/drift,drift,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,218,POST,/retraining/plan,retraining_plan,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,225,POST,/champion-challenger,champion_challenger,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,237,POST,/feature-store/register,feature_store_register,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,244,POST,/feature-store/offline-dataset,feature_store_offline_dataset,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,254,POST,/feature-store/online-materialization,feature_store_online_materialization,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,262,POST,/feature-store/point-in-time,feature_store_point_in_time,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,269,POST,/models/register,model_register,legacy_unversioned_business
sahool-platform,services/sahool-platform/api/phase10_continuous_learning.py,284,POST,/models/serving/promote,model_serving_promote,legacy_unversioned_business
